case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_3,random_9"
record_update__fixed_target__r000,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r001,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r002,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r003,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r004,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r005,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r006,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r007,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r008,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r009,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r010,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_3,random_9|target_nonresponsiveness:random_5,random_9"
record_update__fixed_target__r011,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_1,random_9"
record_update__fixed_target__r012,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r013,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r013,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r013,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r013,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r014,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r014,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r014,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,True,10,"target_nonresponsiveness:random_0,random_3|target_nonresponsiveness:random_2,random_3"
record_update__fixed_target__r014,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r015,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r015,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r015,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r015,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r016,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r016,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r016,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r016,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r017,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r017,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r017,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r017,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r018,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r018,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r018,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r018,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__fixed_target__r019,record_update,fixed_target,single_factor_observable,document_trust,True,False,0,
record_update__fixed_target__r019,record_update,fixed_target,single_factor_observable,nominal_repeat,True,False,10,
record_update__fixed_target__r019,record_update,fixed_target,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__fixed_target__r019,record_update,fixed_target,single_factor_observable,cep,True,True,10,"target_nonresponsiveness:target_edge_1,target_edge_2"
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_2:effect_count=2|random_3:effect_count=2
record_update__sensitive_exfil__r000,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_7:effect_count=2
record_update__sensitive_exfil__r001,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_8:effect_count=2
record_update__sensitive_exfil__r002,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2
record_update__sensitive_exfil__r003,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__sensitive_exfil__r004,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r005,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r005,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r005,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_3:effect_count=2|random_5:effect_count=2
record_update__sensitive_exfil__r005,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r006,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r006,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r006,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_1:effect_count=2
record_update__sensitive_exfil__r006,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r007,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r007,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r007,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2
record_update__sensitive_exfil__r007,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r008,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r008,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r008,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_3:effect_count=2
record_update__sensitive_exfil__r008,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r009,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r009,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r009,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_1:effect_count=2|random_3:effect_count=2|random_6:effect_count=2|random_8:effect_count=2
record_update__sensitive_exfil__r009,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r010,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r010,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
