service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,contact_update,target_ne,missing_p1,service,contact_update--missing_p1,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,missing_p2,service,contact_update--missing_p2,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,missing_both,service,contact_update--missing_both,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,duplicate_p1,service,contact_update--duplicate_p1,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,duplicate_p2,service,contact_update--duplicate_p2,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,duplicate_both,service,contact_update--duplicate_both,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,forbidden_p1,service,contact_update--forbidden_p1,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,forbidden_p2,service,contact_update--forbidden_p2,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,forbidden_both,service,contact_update--forbidden_both,True,global_bijection,identity,False,False,False,False,False,False,False
sqlite,contact_update,target_ne,target_constant_p1_0,service,contact_update--target_constant_p1_0,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_constant_p1_1,service,contact_update--target_constant_p1_1,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,target_constant_p2_0,service,contact_update--target_constant_p2_0,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,target_constant_p2_1,service,contact_update--target_constant_p2_1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,target_constant_both_0,service,contact_update--target_constant_both_0,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,target_constant_both_1,service,contact_update--target_constant_both_1,True,global_bijection,identity,False,False,False,True,False,False,False
sqlite,contact_update,target_ne,payload_constant_p1_0,service,contact_update--payload_constant_p1_0,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_constant_p1_1,service,contact_update--payload_constant_p1_1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_constant_p2_0,service,contact_update--payload_constant_p2_0,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_constant_p2_1,service,contact_update--payload_constant_p2_1,True,global_bijection,identity,True,True,True,True,False,True,True
sqlite,contact_update,target_ne,payload_constant_both_0,service,contact_update--payload_constant_both_0,True,global_bijection,identity,True,True,True,True,False,True,True
