family,variant,scope,method,label,prediction,calls,witnesses
reminder_modify,neighbor_extra_effect,covered,manual_metamorphic_same_information,True,True,10,neighbor:primary_count=2
reminder_modify,neighbor_extra_effect,covered,cep_compiled,True,True,10,neighbor:primary_count=2
reminder_modify,boundary_extra_effect,covered,nominal_fresh_repeat,True,False,10,
reminder_modify,boundary_extra_effect,covered,direct_same_probes,True,True,10,boundary:unexpected=message_send
reminder_modify,boundary_extra_effect,covered,manual_metamorphic_same_information,True,True,10,boundary:unexpected=message_send
reminder_modify,boundary_extra_effect,covered,cep_compiled,True,True,10,boundary:unexpected=message_send
reminder_modify,bijective_wrong_target,boundary,nominal_fresh_repeat,True,False,10,
reminder_modify,bijective_wrong_target,boundary,direct_same_probes,True,False,10,
reminder_modify,bijective_wrong_target,boundary,manual_metamorphic_same_information,True,False,10,
reminder_modify,bijective_wrong_target,boundary,cep_compiled,True,False,10,
reminder_modify,compound_trigger,boundary,nominal_fresh_repeat,True,False,10,
reminder_modify,compound_trigger,boundary,direct_same_probes,True,False,10,
reminder_modify,compound_trigger,boundary,manual_metamorphic_same_information,True,False,10,
reminder_modify,compound_trigger,boundary,cep_compiled,True,False,10,
reminder_modify,sequence_trigger,boundary,nominal_fresh_repeat,True,False,10,
reminder_modify,sequence_trigger,boundary,direct_same_probes,True,False,10,
reminder_modify,sequence_trigger,boundary,manual_metamorphic_same_information,True,False,10,
reminder_modify,sequence_trigger,boundary,cep_compiled,True,False,10,
